"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,840",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,890",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,580",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,480",""
"SURVEY","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,150",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,350",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,020",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,600",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,320",""
"SURVEY","2007","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,200",""
"SURVEY","2006","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,660",""
"SURVEY","2005","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,380",""
"SURVEY","2004","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,600",""
"SURVEY","2003","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,700",""
"SURVEY","2002","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,140",""
"SURVEY","2001","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,170",""
"SURVEY","2000","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,940",""
"SURVEY","1999","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,270",""
"SURVEY","1998","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,850",""
"SURVEY","1997","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,250",""
"SURVEY","1996","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,490",""
"SURVEY","1995","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,600",""
"SURVEY","1994","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","1993","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,300",""
"SURVEY","1992","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","1991","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","1990","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,700",""
"SURVEY","1989","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,900",""
"SURVEY","1988","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,020",""
"SURVEY","1987","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,550",""
"SURVEY","1986","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,700",""
"SURVEY","1985","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,300",""
"SURVEY","1984","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,120",""
"SURVEY","1983","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,040",""
"SURVEY","1982","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,700",""
"SURVEY","1981","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,900",""
"SURVEY","1980","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,440",""
"SURVEY","1979","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,520",""
"SURVEY","1978","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,220",""
"SURVEY","1977","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,810",""
"SURVEY","1976","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,520",""
"SURVEY","1975","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,750",""
"SURVEY","1974","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,290",""
"SURVEY","1973","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,616",""
"SURVEY","1972","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,700",""
"SURVEY","1971","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","1970","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,700",""
"SURVEY","1969","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,525",""
"SURVEY","1968","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,325",""
"SURVEY","1967","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,900",""
"SURVEY","1966","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,500",""
"SURVEY","1965","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,900",""
"SURVEY","1964","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,050",""
"SURVEY","1963","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,325",""
"SURVEY","1962","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,950",""
"SURVEY","1961","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,800",""
"SURVEY","1960","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,775",""
"SURVEY","1959","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,650",""
"SURVEY","1958","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,450",""
"SURVEY","1957","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,300",""
"SURVEY","1956","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,200",""
"SURVEY","1955","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,450",""
"SURVEY","1954","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,550",""
"SURVEY","1953","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,900",""
"SURVEY","1952","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,475",""
"SURVEY","1951","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,300",""
"SURVEY","1950","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,475",""
"SURVEY","1949","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,350",""
"SURVEY","1948","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,669",""
"SURVEY","1947","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,139",""
"SURVEY","1946","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,032",""
"SURVEY","1945","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,665",""
"SURVEY","1944","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,812",""
"SURVEY","1943","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,925",""
"SURVEY","1942","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,745",""
"SURVEY","1941","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,475",""
"SURVEY","1940","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,600",""
"SURVEY","1939","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,375",""
"SURVEY","1938","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,015",""
"SURVEY","1937","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,105",""
"SURVEY","1936","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,060",""
"SURVEY","1935","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,330",""
"SURVEY","1934","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,440",""
"SURVEY","1933","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,880",""
"SURVEY","1932","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","3,191",""
"SURVEY","1931","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,970",""
"SURVEY","1930","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,974",""
"SURVEY","1929","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,709",""
"SURVEY","1928","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,786",""
"SURVEY","1927","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,520",""
"SURVEY","1926","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,412",""
"SURVEY","1925","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,097",""
"SURVEY","1924","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,182",""
"SURVEY","1923","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,408",""
"SURVEY","1922","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,475",""
"SURVEY","1921","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,430",""
"SURVEY","1920","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,295",""
"SURVEY","1919","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","1918","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,588",""
"SURVEY","1917","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","1916","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","1915","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,790",""
"SURVEY","1914","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","1913","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","1912","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,565",""
